additional_search_metadata,categories,glyph_order,NEW_PUAs,Non_modifiable,protected_symbol_notes,RTL_extension,semantic_name_1,semantic_name_2,semantic_name_3,short_name,character,unicodes
,"objects & tools, editing",116,100266,TRUE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,add.markup,,,pencil.tip.crop.circle.badge.plus,􀉦,XXXXX
,"objects & tools, editing",117,100267,TRUE,This symbol may not be modified and may only be used to refer to Apple’s Markup feature.,,remove.markup,,,pencil.tip.crop.circle.badge.minus,􀉧,XXXXX
"user, people",human,119,100269,FALSE,,,,,,person,􀉩,XXXXX
"user, people",human,120,10026A,FALSE,,,,,,person.fill,􀉪,XXXXX
"user, people",human,121,1.004E+06,FALSE,,,,,,person.circle,􀓣,NO
"user, people",human,122,1.004E+07,FALSE,,,,,,person.circle.fill,􀓤,NO
,objects & tools,122,1008D7,FALSE,,,,,,doc.badge.plus,􀣗,XXXXX
"user, add, people",human,123,100715,FALSE,,,,,,person.badge.plus,􀜕,NO
,objects & tools,123,1008D8,FALSE,,,,,,doc.fill.badge.plus,􀣘,XXXXX
"user, add, people",human,124,100716,FALSE,,,,,,person.badge.plus.fill,􀜖,NO
,objects & tools,124,100A5A,FALSE,,,,,,doc.badge.gearshape,􀩚,XXXXX
"user, remove, people",human,125,100717,FALSE,,,,,,person.badge.minus,􀜗,NO
,objects & tools,125,100A5B,FALSE,,,,,,doc.badge.gearshape.fill,􀩛,XXXXX
"user, remove, people",human,126,100718,FALSE,,,,,,person.badge.minus.fill,􀜘,NO
,,126,100A74,FALSE,,,,,,doc.badge.ellipsis,􀩴,XXXXX
,,127,100A75,FALSE,,,,,,doc.fill.badge.ellipsis,􀩵,XXXXX
"shared, people",human,129,10026B,FALSE,,,,,,person.2,􀉫,XXXXX
"shared, people",human,130,10026C,FALSE,,,,,,person.2.fill,􀉬,XXXXX
"shared, group, people",human,131,10074A,FALSE,,,,,,person.3,􀝊,NO
"shared, group, people",human,132,10074B,FALSE,,,,,,person.3.fill,􀝋,NO
,objects & tools,132,10088D,FALSE,,,,,,lock.doc,􀢍,XXXXX
"user, account, contact, people",human,133,10026D,FALSE,,,account,contacts,,person.crop.circle,􀉭,XXXXX
,objects & tools,133,10088E,FALSE,,,,,,lock.doc.fill,􀢎,XXXXX
"user, account, contact, people",human,134,10026E,FALSE,,,account.fill,contacts.fill,,person.crop.circle.fill,􀉮,XXXXX
"user, account, contact, add, people",human,135,10026F,FALSE,,,,,,person.crop.circle.badge.plus,􀉯,XXXXX
"user, account, contact, add, people",human,136,100270,FALSE,,,,,,person.crop.circle.fill.badge.plus,􀉰,XXXXX
"user, account, contact, remove, people",human,137,100271,FALSE,,,,,,person.crop.circle.badge.minus,􀉱,XXXXX
"user, account, contact, remove, people",human,138,100272,FALSE,,,,,,person.crop.circle.fill.badge.minus,􀉲,XXXXX
"user, contact, account, people",human,139,100273,FALSE,,,,,,person.crop.circle.badge.checkmark,􀉳,XXXXX
"user, contact, account, people",human,140,100274,FALSE,,,,,,person.crop.circle.fill.badge.checkmark,􀉴,XXXXX
,,140,100927,FALSE,,,,,,doc.zipper,􀤧,XXXXX
"user, contact, account, people",human,141,100275,FALSE,,,,,,person.crop.circle.badge.xmark,􀉵,XXXXX
"user, contact, account, people",human,142,100276,FALSE,,,,,,person.crop.circle.fill.badge.xmark,􀉶,XXXXX
"user, account, contact, error, people",human,143,100277,FALSE,,,,,,person.crop.circle.badge.exclam,􀉷,XXXXX
"user, account, contact, error, people",human,144,100278,FALSE,,,,,,person.crop.circle.fill.badge.exclam,􀉸,XXXXX
,human,145,100279,FALSE,,,selfie,,,person.crop.square,􀉹,XXXXX
"clipboard, pasteboard",objects & tools,145,100AF5,FALSE,,,,,,arrow.right.doc.on.clipboard,􀫵,XXXXX
,human,146,10027A,FALSE,,,selfie.fill,,,person.crop.square.fill,􀉺,XXXXX
"clipboard, pasteboard",objects & tools,146,100AF6,FALSE,,,,,,arrow.up.doc.on.clipboard,􀫶,XXXXX
,keyboard,147,100194,FALSE,,,command,,,command,􀆔,2318
"clipboard, pasteboard",objects & tools,147,100AF7,FALSE,,,,,,arrow.triangle.2.circlepath.doc.on.clipboard,􀫷,XXXXX
,keyboard,148,100195,FALSE,,,option,,,option,􀆕,2325
,keyboard,149,100196,FALSE,,,,,,alt,􀆖,2387
,keyboard,150,100197,FALSE,,,backspace,,,delete.right,􀆗,2326
,keyboard,151,100198,FALSE,,,backspace.fill,,,delete.right.fill,􀆘,XXXXX
,keyboard,152,100199,FALSE,,,,,,clear,􀆙,2327
,keyboard,153,10019A,FALSE,,,,,,clear.fill,􀆚,XXXXX
,keyboard,154,10019B,FALSE,,,backspace,,,delete.left,􀆛,232B
,keyboard,155,10019C,FALSE,,,backspace.fill,,,delete.left.fill,􀆜,XXXXX
,keyboard,156,10019D,FALSE,,,shift,,,shift,􀆝,2.1E+08
,keyboard,157,10019E,FALSE,,,shift.fill,,,shift.fill,􀆞,XXXXX
,,158,10098A,FALSE,,,,,,doc.richtext.fill,􀦊,XXXXX
,keyboard,160,1001A1,FALSE,,,caps.lock,,,capslock,􀆡,21EA
,keyboard,161,1001A2,FALSE,,,caps.lock.fill,,,capslock.fill,􀆢,XXXXX
,keyboard,162,1001A7,FALSE,,,espace,,,escape,􀆧,238B
,,163,10071A,FALSE,,,,,,circle.bottomthird.split,􀜚,NO
